MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367100870,2022-03-31T19:14:24,33.93062,-77.99568,5.4,121.6,119.0,RANGER,,WDC9335,60.0,0.0,23.0,8.0,,60.0,A
338570000,2022-03-31T10:50:59,30.70904,-81.42511,0.7,118.4,103.0,BAYPORT,IMO8993784,WCZ4240,90.0,3.0,90.0,16.0,,33.0,A
368017210,2022-03-31T06:30:04,48.49268,-122.68032,0.1,305.1,511.0,SEA ESTA,IMO0000000,WDJ8515,37.0,,13.0,5.0,,,B
367574050,2022-03-31T11:29:37,29.31421,-94.21926,0.0,147.7,511.0,TOBIE EYMARD,IMO9667904,WDG8104,90.0,1.0,41.0,20.0,2.3,0.0,A
368181560,2022-03-31T17:08:00,28.40775,-80.62876,0.2,360.0,511.0,KINDNESS,IMO0000000,WDL9715,37.0,,0.0,0.0,,,B
368025390,2022-03-31T18:25:26,31.69246,-81.18436,4.6,223.5,511.0,MISS SOUTHERN,IMO1001275950,WDJ9368,52.0,12.0,12.0,6.0,2.0,52.0,A
431024000,2022-03-31T07:27:39,34.44653,-123.97871,11.3,87.9,83.0,ASTERIA LEADER,IMO9531741,7KIE,70.0,0.0,199.0,32.0,9.3,70.0,A
538005409,2022-03-31T07:25:03,28.40896,-80.60865,0.0,210.2,89.0,STI ROTHERHITHE,IMO9706475,V7DP2,80.0,5.0,184.0,27.0,11.9,80.0,A
338126792,2022-03-31T07:36:39,29.72264,-84.97826,0.0,360.0,511.0,INTEGRITY,,,90.0,3.0,49.0,,,33.0,A
338430405,2022-03-31T16:20:58,33.72826,-118.08166,0.0,360.0,511.0,DOC HOLIDAYS,IMO0000000,,37.0,,4.0,8.0,,,B
538080034,2022-03-31T09:09:53,26.08884,-80.17442,0.0,192.4,359.0,DAYBREAK,IMO1005394,V7MN7,37.0,0.0,40.0,,,37.0,A
366999388,2022-03-31T06:57:39,35.0724,-90.11552,0.0,183.0,511.0,GOODWIN,,AETG,90.0,12.0,,,,31.0,A
257384000,2022-03-31T21:50:13,26.69474,-87.79369,11.3,321.8,320.0,BOW AQUARIUS,IMO9753791,LAFA6,80.0,0.0,183.0,32.0,9.5,80.0,A
368090850,2022-03-31T09:30:31,29.28705,-94.93969,5.3,77.5,79.0,LOUISE NEWELL,,WDK8102,31.0,12.0,22.0,9.0,2.2,31.0,A
368073760,2022-03-31T21:38:29,35.02967,-76.68149,0.0,359.7,511.0,FREE FALLIN,IMO0000000,WDK6357,36.0,,16.0,5.0,,,B
366967450,2022-03-31T22:50:26,38.53873,-90.25047,0.1,314.9,32.0,DANIEL T MARTIN,,WDB8982,31.0,12.0,39.0,13.0,,52.0,A
231789000,2022-03-31T05:11:45,43.47693,-68.72327,13.3,280.4,280.0,LAGARFOSS,IMO9641314,OZ2187,79.0,0.0,141.0,23.0,8.9,79.0,A
367627770,2022-03-31T22:36:38,31.00962,-91.70921,4.4,201.0,226.0,KIMBERLY HIDALGO,,WDH5418,31.0,12.0,26.0,,,31.0,A
366986820,2022-03-31T00:03:34,41.47722,-90.63472,5.3,52.4,511.0,TROJAN,,WDC2036,31.0,0.0,19.0,7.0,,31.0,A
366998840,2022-03-31T18:07:25,33.75225,-118.22275,0.0,307.2,72.0,MILLENNIUM MAVERICK,IMO9159713,WDC2866,31.0,0.0,30.0,11.0,4.6,39.0,A
367638480,2022-03-31T16:37:13,48.75454,-122.49345,0.0,167.9,511.0,OCEAN HUNTER,IMO8705852,WDH6487,30.0,0.0,25.0,7.0,,30.0,A
3791472,2022-03-31T12:22:20,26.13155,-92.04029,0.0,58.9,1.0,LUCIUS SPAR,IMO1108561,WQXP40,80.0,15.0,0.0,0.0,0.0,80.0,A
368161570,2022-03-31T06:59:49,29.54771,-95.02629,0.0,360.0,511.0,HATTINI,IMO0000000,WDL7590,37.0,,13.0,5.0,,,B
316005416,2022-03-31T17:23:37,49.20056,-123.0885,0.0,100.6,511.0,JOSE NARVAEZ,IMO7003441,CY9519,31.0,0.0,26.0,7.0,3.5,31.0,A
367151240,2022-03-31T04:53:14,21.31141,-157.87426,0.1,267.8,511.0,MAMO,IMO9145190,WCZ5700,31.0,0.0,23.0,8.0,,52.0,A
368224560,2022-03-31T21:43:15,47.56333,-122.62111,0.0,360.0,511.0,QUANTO E DOLCE,IMO0000000,WDM6364,37.0,,13.0,4.0,,,B
338304093,2022-03-31T12:52:05,25.90781,-80.12543,0.0,360.0,511.0,THE BROWN DOG,IMO0000000,,30.0,,13.0,4.0,,,B
367642860,2022-03-31T06:17:00,33.98305,-118.44821,0.1,99.6,511.0,LA DI DA,,WDH6915,37.0,,13.0,,,,B
367729220,2022-03-31T10:33:24,28.94315,-95.38067,0.0,56.8,102.0,LILA MAE,IMO8635590,WDI7486,31.0,12.0,26.0,9.0,,57.0,A
369990236,2022-03-31T18:58:42,41.46313,-71.35947,0.0,48.8,511.0,CG29236,,CG29236,51.0,0.0,8.0,3.0,1.0,51.0,A
564335000,2022-03-31T00:15:15,29.73494,-89.99871,16.0,132.2,135.0,MTM ANTWERP,IMO9291456,9V2587,80.0,0.0,145.0,23.0,9.9,80.0,A
367585870,2022-03-31T02:21:29,29.14306,-90.21812,0.0,252.5,251.0,HOS RIVERBEND,IMO9647679,WDG9249,70.0,0.0,89.0,20.0,5.4,70.0,A
367541350,2022-03-31T23:10:38,38.57997,-90.21983,0.0,286.4,511.0,CHUB MORRIS,,WDG4908,31.0,0.0,16.0,,,31.0,A
338402895,2022-03-31T21:02:03,25.78908,-80.23565,2.2,266.0,511.0,SON OF THE SEA,IMO0000000,,37.0,,15.0,4.0,,,B
316024197,2022-03-31T10:43:23,48.67738,-123.41521,0.0,360.0,511.0,LONG WAY HOME,,,37.0,,,,,,B
368097590,2022-03-31T16:12:28,30.25525,-91.32085,4.3,7.8,511.0,GRAYSON,,WDK8807,57.0,12.0,116.0,17.0,3.1,57.0,A
367610270,2022-03-31T22:32:25,36.31948,-87.22053,0.0,170.0,314.0,WARREN W HINES,,WDH3729,31.0,12.0,39.0,13.0,,57.0,A
367190250,2022-03-31T02:58:06,43.07916,-70.75744,0.0,226.4,511.0,TOWN POINT,IMO7110854,WBK3245,31.0,5.0,28.0,8.0,4.5,52.0,A
