MMSI,mean_speed,std_speed,min_speed,max_speed,n_fixes
367129680,0.8708447,1.5513418,0.0,5.7,367
367129820,0.36247706,1.1592861,0.0,7.1,1090
367130150,0.0,0.0,0.0,0.0,211
367130430,0.5220513,1.3769964,0.0,6.2,390
367130870,0.016666668,0.04082483,0.0,0.1,6
367130890,0.0,0.0,0.0,0.0,382
367130910,0.8714795,3.0252266,0.0,14.2,1122
367130960,4.190909,2.3623948,0.2,6.5,11
367131000,0.0040482343,0.019717254,0.0,0.1,1161
367131150,0.004,0.019727878,0.0,0.1,75
367131290,0.0008196722,0.009020502,0.0,0.1,1098
367131650,0.0,0.0,0.0,0.0,4
367132000,2.031739,3.4515095,0.0,10.9,230
367132090,2.0106666,1.2392703,0.0,7.1,675
367132250,0.023529412,0.055371054,0.0,0.2,34
367132570,0.025384616,0.05504596,0.0,0.3,390
367132820,1.9487298,3.6874857,0.0,10.1,433
367132830,7.4728303,0.59589624,5.5,8.8,265
367133160,4.3414426,1.9720227,0.0,7.0,929
367133180,2.5585713,3.04495,0.0,9.4,210
367133230,0.17051888,0.13281359,0.0,0.7,424
367133910,0.0039783004,0.020011207,0.0,0.2,1106
367133950,6.4975758,0.9741305,0.2,8.6,330
367133960,0.024498692,0.043229036,0.0,0.2,1147
367134000,12.873925,1.992596,7.5,16.6,349
367134360,0.0,0.0,0.0,0.0,13
367134520,4.785806,3.4987087,0.0,7.9,310
367135070,1.9290627,2.758975,0.0,10.1,1163
367135080,0.051200002,0.060677107,0.0,0.5,375
367135430,1.162268,2.878284,0.0,8.9,970
367135470,0.00052910054,0.0072739297,0.0,0.1,189
367135480,3.9199998,2.1131997,0.0,7.2,430
367135890,0.002416571,0.015365186,0.0,0.1,869
367136020,0.0038647344,0.019298624,0.0,0.1,414
367136040,0.0,0.0,0.0,0.0,1156
367136470,0.058119655,0.29920563,0.0,2.3,117
367136670,4.9452605,3.4991975,0.0,9.6,422
367136690,0.0015384615,0.012317171,0.0,0.1,650
367136850,0.046285715,0.055890076,0.0,0.2,350
367136880,2.1162562,2.6421716,0.0,6.4,203
367137180,2.28924,3.262143,0.0,10.0,1171
367138050,7.722917,2.4055114,0.0,9.3,48
367138330,1.410219,1.1844759,0.0,2.9,137
367138450,4.098641,2.4786122,0.0,8.5,1177
367138470,4.0945473,0.94771135,0.2,6.7,1137
367138490,1.2739437,4.141848,0.0,16.7,710
367138690,3.7846525,4.529362,0.0,15.2,619
367138710,0.002347826,0.016256776,0.0,0.2,1150
367138730,0.6070339,1.4174579,0.0,8.0,1180
367139000,0.15548629,1.1126897,0.0,25.6,802
367139030,0.04140436,0.04931535,0.0,0.1,413
367139210,0.0121951215,0.03292432,0.0,0.1,82
367139510,1.7786033,2.9455755,0.0,12.2,1117
367139590,0.0,0.0,0.0,0.0,421
367139770,1.4858667,2.528424,0.0,14.0,375
367139820,0.04669052,0.05910974,0.0,0.3,1118
367139970,0.50667244,1.2768533,0.0,6.5,1154
367139980,2.6589887,2.0439944,0.0,5.8,178
367140470,0.020987654,0.050039712,0.0,0.4,405
367140730,0.05142857,0.058006167,0.0,0.2,350
367140820,3.0453296,3.0802498,0.0,9.3,364
367140940,0.825,0.3201562,0.6,1.3,4
367140960,0.00061349693,0.0078119654,0.0,0.1,1141
367141080,0.32466766,1.1424036,0.0,7.2,677
367141210,0.9204137,2.8019357,0.0,21.4,1112
367141250,0.06289926,0.059343264,0.0,0.3,407
367141370,3.5259886,3.3816454,0.0,8.8,354
367141430,0.03783542,0.20189248,0.0,4.2,1118
367141680,0.67675024,2.4179628,0.0,13.0,1157
367141690,0.0,0.0,0.0,0.0,394
367142430,0.1,,0.1,0.1,1
367142710,4.3481736,1.6083924,0.0,6.9,575
367142740,0.0,0.0,0.0,0.0,2
367142780,0.0,0.0,0.0,0.0,56
367142830,1.7216464,2.6870036,0.0,8.2,328
367143160,4.28638,3.7804031,0.0,11.3,558
367143360,4.8113637,2.4732926,0.0,8.0,220
367143380,1.3512937,1.6957359,0.0,5.0,657
367143450,2.9564104,1.8453063,0.0,4.6,39
367143520,1.058209,1.5824941,0.0,6.5,67
367143550,0.0910045,0.032094713,0.0,0.2,667
367143650,2.052142,2.5492692,0.0,7.8,817
367143690,2.257462,1.6399571,0.0,7.4,1119
367143710,1.178203,2.2731125,0.0,10.0,601
367143910,2.6406393,2.462773,0.0,6.3,657
367143920,0.8882556,2.327083,0.0,9.8,1158
367143960,1.8967438,3.770069,0.0,11.7,1167
367144040,0.1704969,0.48545742,0.0,2.1,322
367144080,0.02195122,0.041905817,0.0,0.1,41
367144530,7.7602105,7.036445,0.0,19.6,475
367144820,0.06403162,0.05128073,0.0,0.2,253
367144870,0.0021276595,0.014469022,0.0,0.1,188
367145360,7.759091,0.17364201,7.5,8.1,22
367145380,1.5749354,2.5314538,0.0,7.8,1161
367145440,0.11526452,0.7919579,0.0,8.9,1153
367145620,0.0,0.0,0.0,0.0,41
367145680,2.049151,3.5955493,0.0,9.7,1119
367145750,1.8391304,2.7934914,0.0,10.2,69
367145870,9.813316,14.291433,0.0,35.2,1164
367145960,0.2,,0.2,0.2,1
367146190,5.521973,4.100265,0.0,10.5,223
367146510,4.057366,3.7713861,0.0,8.7,577
367146590,0.0010695187,0.010300081,0.0,0.1,374
367146690,0.0,0.0,0.0,0.0,49
367146720,0.013888889,0.04193473,0.0,0.3,252
367146780,0.4631868,1.3502351,0.0,5.8,1092
367147000,3.0728395,4.042339,0.0,10.3,81
367147410,2.4929135,3.3492284,0.0,8.0,127
367147480,3.2424,2.3528042,0.0,6.0,125
367147860,3.4337118,4.0613875,0.0,12.4,617
367148330,0.16908397,0.25521067,0.0,2.1,262
367148420,0.01324201,0.035296787,0.0,0.2,219
367148440,0.3522124,0.9432818,0.0,15.1,339
367148470,0.0014159292,0.012546971,0.0,0.2,1130
367148620,1.8493458,1.1507344,0.0,6.7,535
367148660,0.04851752,0.31520241,0.0,5.1,1113
367148760,0.28963855,0.74804974,0.0,5.9,415
367148870,0.0,0.0,0.0,0.0,11
367149030,0.004895105,0.022657562,0.0,0.2,429
367149340,3.7955284,2.287958,0.0,7.4,984
367149550,0.00625,0.024358869,0.0,0.1,80
367149890,1.474623,2.7035031,0.0,8.0,1127
367149920,8.425,1.2398827,1.1,10.7,132
367150020,2.3394198,1.02557,0.0,4.5,586
367150170,0.014019521,0.16762497,0.0,3.4,1127
367150210,5.2969327,5.1289353,0.0,17.7,163
367150410,0.0,0.0,0.0,0.0,363
367150680,0.0,0.0,0.0,0.0,347
367151170,4.077656,3.6582077,0.0,10.4,913
367151240,0.62088746,1.7180978,0.0,9.4,924
367151310,6.865934,2.4517736,0.0,9.4,455
367151380,3.0620916,1.891154,0.0,7.1,459
367151450,0.59822226,2.2304227,0.0,11.0,450
367151460,3.628767,2.2476788,0.0,7.4,1168
367151590,0.5,0.9886017,0.1,3.6,16
367151950,5.1272726,1.6452044,0.0,6.5,99
367152240,2.0253012,2.8020394,0.0,7.8,83
367152680,0.006788512,0.02518777,0.0,0.1,383
367152730,2.4991364,3.4228349,0.0,10.1,1158
367152910,0.0,0.0,0.0,0.0,1157
367152940,0.0,0.0,0.0,0.0,315
367152990,0.007292616,0.059358332,0.0,1.2,1097
367153110,0.33097112,1.021607,0.0,4.5,1143
367153430,0.006908463,0.025370756,0.0,0.1,1158
367153580,0.00024213076,0.004920678,0.0,0.1,413
367153930,4.999297,5.2273426,0.0,12.9,854
367154000,0.025433527,0.044986594,0.0,0.2,173
367154860,0.0,0.0,0.0,0.0,6
367155110,0.0,0.0,0.0,0.0,53
367155210,1.2378277,2.6223073,0.0,11.0,267
367155230,8.334533,0.961333,1.0,10.5,139
367155550,2.6837697,1.9119751,0.0,5.6,1146
367155580,0.0,0.0,0.0,0.0,397
367155810,0.0047704773,0.03964614,0.0,0.9,1111
367156260,0.066605836,0.18765014,0.0,3.6,1096
367156270,0.00086956524,0.009325048,0.0,0.1,115
367156350,0.0,0.0,0.0,0.0,81
367156370,0.098156676,0.61226594,0.0,6.4,434
367156710,0.4830702,1.5358814,0.0,7.7,1140
367156850,2.3099222,2.826753,0.0,8.4,1159
367156870,0.0,0.0,0.0,0.0,405
367157090,0.08007055,0.37119305,0.0,6.9,1134
367157110,1.0537153,2.6013227,0.0,9.5,1117
367157150,0.0,0.0,0.0,0.0,418
367157240,2.8,0.46043456,2.3,3.6,6
367157570,1.4285715,2.6075232,0.0,11.1,126
367158090,0.053928573,0.097929806,0.0,0.6,280
367158250,0.013852814,0.035304505,0.0,0.2,1155
367158550,4.2421055,4.51062,0.0,11.4,266
367159020,0.0,0.0,0.0,0.0,369
367159070,5.056044,3.0947702,0.0,10.0,91
367159120,0.0012567325,0.011144746,0.0,0.1,1114
367159130,1.8272318,2.812706,0.0,9.1,1109
367160000,0.00095902354,0.009750155,0.0,0.1,1147
367160010,7.695,0.78891504,5.1,10.1,200
367160030,7.8535714,6.9668097,0.0,17.2,672
367160320,0.3051948,1.2734487,0.0,12.0,1155
367161000,0.00018050542,0.0042466735,0.0,0.1,1108
367161070,7.8392487,3.9781246,0.0,12.2,293
367161150,1.3433844,3.3019145,0.0,11.9,1111
367161570,3.1988294,4.7118955,0.0,13.5,598
367161610,0.00024213076,0.004920678,0.0,0.1,413
367161780,0.06666667,0.05773503,0.0,0.1,3
367161870,2.022375,2.6285007,0.0,8.7,581
367161920,0.03501805,0.06285263,0.0,0.5,277
367161930,0.4212806,0.3312342,0.0,2.3,531
367161940,7.419737,2.8498309,0.0,9.3,380
367161950,0.0049415994,0.028493676,0.0,0.6,1113
367162230,2.4208162,3.413116,0.0,11.5,245
367162270,4.3429437,1.6787772,0.0,8.3,1155
367162510,0.004622871,0.021023596,0.0,0.1,411
367162640,4.826223,7.5670195,0.0,19.8,511
367162740,0.9982664,3.6509318,0.0,22.3,1096
367162750,1.9296263,5.9686503,0.0,30.6,1097
367162820,2.609059,2.756503,0.0,7.8,287
367162830,0.45355612,1.3440685,0.0,7.2,1167
367162840,4.126707,1.7896388,0.1,7.4,1157
367162940,0.41444445,1.3573442,0.0,6.7,1170
367163190,0.0,0.0,0.0,0.0,395
367163580,0.0,0.0,0.0,0.0,15
367163760,1.9739054,4.0051985,0.0,13.3,1142
367164050,1.7594471,3.2266994,0.0,8.3,217
367164070,0.0034722222,0.018316625,0.0,0.1,1008
367164250,0.58763534,1.6805117,0.0,8.9,1108
367165060,1.1519347,2.5991466,0.0,8.8,491
367165270,0.055212013,0.05335142,0.0,0.3,1132
367165430,0.0,0.0,0.0,0.0,407
367165450,2.1261292,3.5609286,0.0,11.9,1129
367165570,1.2595907,2.777991,0.0,9.3,391
367165890,0.23085567,0.2027673,0.0,1.4,1157
367165920,0.0011661808,0.013193735,0.0,0.2,343
367165980,5.7668247,4.4677296,0.0,14.9,844
367166120,0.0,0.0,0.0,0.0,3
367166430,0.0027562447,0.016896745,0.0,0.2,1161
367166440,3.6456354,2.7995102,0.0,8.5,1157
367166520,0.17407408,0.57440794,0.0,3.2,81
367166940,3.4851658,2.0362325,0.0,7.3,1146
367167020,0.82616985,2.0360136,0.0,6.8,1154
367167460,1.936755,1.1885579,0.0,4.1,906
367167740,0.0052238805,0.104738474,0.0,2.1,402
367167790,0.0,0.0,0.0,0.0,416
367167850,0.0046489565,0.021064278,0.0,0.1,1054
367167940,0.6525503,1.3740481,0.0,7.5,647
367168000,0.0,0.0,0.0,0.0,53
367168040,0.025,0.04512819,0.0,0.2,384
367168190,0.15067568,0.82444286,0.0,6.7,444
367168250,0.01923077,0.03991551,0.0,0.2,1040
367168340,1.5588015,2.0734875,0.0,7.7,534
367168450,6.1915965,8.922322,0.0,26.6,595
367169000,11.383885,0.6015034,9.5,13.7,664
367169320,2.4060974,1.2429218,0.0,9.5,1066
367169560,4.852198,1.1212484,0.1,6.9,1069
367169710,0.7337545,2.0350137,0.0,9.2,1108
367170010,2.3544304,2.2769122,0.0,5.7,1106
