MMSI,dark_events,last_position
316042032,1,2022-03-31 16:30:56+00:00
316042119,1,2022-03-31 14:26:58+00:00
316042159,1,2022-03-31 20:18:11+00:00
316042989,1,2022-03-31 10:55:30+00:00
316043988,1,2022-03-31 22:40:10+00:00
316044278,1,2022-03-31 22:45:09+00:00
316044568,1,2022-03-31 19:27:17+00:00
316045625,1,2022-03-31 19:50:00+00:00
316046073,1,2022-03-31 21:44:09+00:00
316047178,1,2022-03-31 18:05:22+00:00
316047896,1,2022-03-31 23:26:39+00:00
316048139,1,2022-03-31 14:53:41+00:00
319014200,1,2022-03-31 20:04:51+00:00
319095500,1,2022-03-31 22:50:49+00:00
319137700,1,2022-03-31 14:22:20+00:00
319156200,1,2022-03-31 09:27:16+00:00
319214900,1,2022-03-31 12:18:36+00:00
319409000,1,2022-03-31 23:59:47+00:00
319468000,1,2022-03-31 09:13:44+00:00
338051404,1,2022-03-31 17:00:33+00:00
338073847,1,2022-03-31 22:18:01+00:00
338080722,1,2022-03-31 23:24:44+00:00
338095872,2,2022-03-31 22:09:11+00:00
338100408,1,2022-03-31 18:32:32+00:00
338100519,1,2022-03-31 12:12:31+00:00
338104000,1,2022-03-31 18:12:48+00:00
338105181,1,2022-03-31 19:11:34+00:00
338107856,1,2022-03-31 16:00:05+00:00
338128587,1,2022-03-31 13:22:58+00:00
338134031,1,2022-03-31 12:09:21+00:00
338135301,1,2022-03-31 11:38:41+00:00
338138088,1,2022-03-31 12:33:13+00:00
338141134,1,2022-03-31 14:27:48+00:00
338143066,1,2022-03-31 21:06:01+00:00
338143176,1,2022-03-31 09:18:48+00:00
338143945,1,2022-03-31 12:10:48+00:00
338145389,1,2022-03-31 18:21:28+00:00
338145686,1,2022-03-31 15:20:46+00:00
338145691,1,2022-03-31 14:04:59+00:00
338162845,1,2022-03-31 23:59:29+00:00
338165157,1,2022-03-31 13:29:55+00:00
338165279,1,2022-03-31 16:22:34+00:00
338168229,1,2022-03-31 13:41:46+00:00
338184034,2,2022-03-31 19:44:44+00:00
338186931,2,2022-03-31 20:51:57+00:00
338188875,1,2022-03-31 12:08:39+00:00
338193652,1,2022-03-31 23:59:36+00:00
338197593,1,2022-03-31 15:48:32+00:00
338201245,1,2022-03-31 11:46:58+00:00
338202093,2,2022-03-31 22:48:26+00:00
338204407,1,2022-03-31 12:09:58+00:00
338205064,1,2022-03-31 15:41:30+00:00
338205428,1,2022-03-31 16:29:27+00:00
338221000,1,2022-03-31 21:05:11+00:00
338223442,1,2022-03-31 09:24:12+00:00
338224747,1,2022-03-31 21:39:03+00:00
338228002,1,2022-03-31 23:20:23+00:00
338228202,1,2022-03-31 21:21:20+00:00
338228436,1,2022-03-31 10:45:01+00:00
338229192,1,2022-03-31 12:10:49+00:00
338232644,1,2022-03-31 15:23:46+00:00
338233741,1,2022-03-31 13:20:46+00:00
338234542,1,2022-03-31 18:06:31+00:00
338235551,1,2022-03-31 21:13:49+00:00
338237796,1,2022-03-31 08:54:57+00:00
