,random_forest,gradient_boosting,mean
0,0.7998132674842213,0.9208333333333325,0.8603233004087769
6,0.031109924626615194,0.07916666666666679,0.055138295646640995
11,0.06215976907670902,1.9896099990690157e-16,0.03107988453835461
10,0.06074168420445326,6.209735565710529e-16,0.030370842102226937
2,0.019134013059991156,0.0,0.009567006529995578
3,0.018145787390432332,9.153270771710858e-17,0.009072893695216211
1,0.008895554157577859,7.841314637003652e-17,0.004447777078788968
4,0.0,0.0,0.0
7,0.0,0.0,0.0
5,0.0,0.0,0.0
9,0.0,0.0,0.0
8,0.0,0.0,0.0
